,Dependents,LoanAmount,Loan_Amount_Term,Credit_History,Total,Gender_Male,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban
30,0,4.31748811353631,360.0,1.0,7.815207062189088,0,0,1,0,1,0
31,2,5.2574953720277815,360.0,1.0,8.863615758890619,1,1,0,0,0,1
32,0,5.0238805208462765,360.0,1.0,8.507344855361422,1,0,0,0,1,0
33,0,5.062595033026967,360.0,1.0,8.61086566727887,1,1,0,0,0,1
34,0,4.61512051684126,360.0,1.0,8.361941906144947,1,1,0,0,0,1
35,0,5.170483995038151,360.0,0.0,8.055157731819678,1,0,0,0,1,0
36,2,5.220355825078324,180.0,1.0,9.339524830357009,1,1,0,0,0,1
37,0,4.499809670330264,360.0,1.0,8.528924114291936,1,1,0,1,0,1
38,0,4.7535901911063645,360.0,1.0,8.671286726753637,1,0,0,1,0,1
39,0,4.927253685157205,360.0,1.0,8.631592731724734,1,0,0,0,0,1
40,0,4.605170185988092,360.0,1.0,8.77137018531062,1,1,0,0,0,1
41,0,4.700480365792417,360.0,1.0,8.200837258379849,0,0,0,0,0,1
42,0,4.499809670330264,360.0,1.0,8.235890725928495,1,1,1,0,1,0
43,0,5.298317366548036,360.0,1.0,9.116029692504943,1,0,0,0,1,0
44,0,4.430816798843313,360.0,1.0,8.20685642839965,0,0,0,0,0,1
45,0,5.220355825078324,360.0,1.0,9.006999447958153,1,1,0,0,0,1
46,0,5.087596335232384,360.0,1.0,8.637284671674058,1,1,1,0,0,1
47,0,4.68213122712422,360.0,1.0,8.356554845453426,1,0,1,0,1,0
48,0,5.231108616854587,360.0,1.0,9.223256597242731,1,0,0,0,0,1
49,3,5.231108616854587,360.0,1.0,9.017968479328726,1,1,1,1,1,0
50,1,4.820281565605037,360.0,1.0,8.325063693631197,1,1,0,0,0,1
51,3,4.787491742782046,360.0,1.0,8.37401542173991,1,1,1,0,1,0
52,1,5.0751738152338275,360.0,1.0,8.79133399330135,1,1,0,0,1,0
53,2,3.4011973816621555,180.0,1.0,8.540128162698734,1,1,0,0,0,1
54,0,4.5217885770490405,360.0,1.0,8.574140471857987,1,1,1,1,0,1
55,0,4.867534450455582,360.0,0.0,7.919356190660618,1,0,0,0,0,1
56,0,4.867534450455582,360.0,1.0,8.389814262086407,0,0,1,0,0,0
57,2,4.897839799950911,180.0,1.0,8.875147316853349,1,1,0,0,1,0
58,2,5.170483995038151,360.0,0.0,8.770749549138642,0,1,0,0,1,0
59,3,4.499809670330264,180.0,1.0,8.459564078579602,1,1,0,0,1,0
60,0,4.700480365792417,360.0,1.0,8.327484416188264,1,1,1,0,1,0
61,0,4.8283137373023015,360.0,1.0,8.896724917497899,1,1,0,1,0,1
62,2,5.2417470150596435,360.0,1.0,8.510772623613315,0,0,0,0,1,0
63,0,4.68213122712422,360.0,0.0,8.188966863648876,0,0,0,0,0,0
64,3,4.8283137373023015,360.0,1.0,8.4096079807363,1,1,1,0,0,1
65,0,4.927253685157205,360.0,1.0,8.779557455883728,1,1,0,0,1,0
66,0,4.90527477843843,360.0,0.0,8.455317787698151,1,1,1,0,1,0
67,0,4.867534450455582,360.0,0.0,8.144679183447758,1,1,0,0,1,0
68,0,5.231108616854587,360.0,1.0,8.944550245940501,1,1,0,0,1,0
69,0,5.236441962829949,360.0,0.0,8.93102321585603,1,1,0,0,0,0
70,0,4.553876891600541,360.0,1.0,8.086410275323782,0,0,0,0,1,0
71,0,4.174387269895637,360.0,1.0,8.40357646462927,1,0,0,0,1,0
72,1,4.934473933130692,60.0,1.0,8.675563527387679,1,1,0,0,0,1
73,0,5.44673737166631,360.0,1.0,8.698514247876611,1,1,0,1,0,0
74,0,4.969813299576002,360.0,1.0,9.027978814382207,1,1,1,0,1,0
75,0,5.043425116919247,360.0,1.0,8.85623355614316,1,0,0,0,0,1
76,0,5.225746673713202,360.0,1.0,8.622633703874234,1,1,0,0,0,1
77,0,3.912023005428147,360.0,1.0,8.757154527656606,1,0,0,1,0,0
78,1,4.83,360.0,1.0,8.91811465947453,1,1,0,0,1,0
79,0,5.220355825078324,360.0,1.0,8.980927207648378,0,1,0,0,0,1
80,3,5.093750200806762,360.0,0.0,8.503499864284235,1,1,0,0,0,1
81,3,5.886104031450156,360.0,1.0,11.191741760864094,1,1,0,0,0,1
82,2,5.003946305945459,480.0,0.0,8.327484416188264,1,1,1,0,0,0
83,0,5.54907608489522,360.0,1.0,9.041803370152845,1,1,0,0,0,0
84,0,4.875197323201151,180.0,0.0,8.40200678160712,1,1,0,0,1,0
85,2,4.624972813284272,180.0,1.0,9.444226019822297,1,1,0,0,0,0
86,0,4.90527477843843,360.0,1.0,8.610319169405722,1,1,0,0,0,1
87,0,4.553876891600541,360.0,1.0,8.028129059431759,1,0,0,0,1,0
88,2,4.343805421853683,360.0,1.0,8.565983355585669,1,0,1,0,1,0
89,0,5.298317366548036,360.0,1.0,8.528726427229909,0,0,0,0,0,0
90,0,4.867534450455582,360.0,1.0,8.607764889600624,1,1,0,1,0,0
91,3,5.966146739123692,360.0,1.0,9.5117774096603,1,1,0,0,0,0
92,1,5.220355825078324,360.0,1.0,8.834045641167798,1,1,0,0,1,0
93,2,4.605170185988092,360.0,1.0,8.765926513729442,1,1,1,0,1,0
94,1,4.812184355372417,360.0,0.0,8.845345196421732,1,1,0,0,1,0
95,3,4.700480365792417,360.0,1.0,8.741935464094144,0,1,0,0,1,0
96,1,5.545177444479562,360.0,1.0,8.927048647825695,1,1,0,0,0,1
97,0,4.941642422609304,360.0,1.0,8.817297783866575,1,1,0,0,1,0
98,3,4.110873864173311,360.0,1.0,9.181838011503473,1,1,0,0,0,1
99,3,5.236441962829949,360.0,1.0,8.82981174915805,1,1,0,0,1,0
100,0,4.875197323201151,360.0,1.0,8.401108712395438,1,0,0,0,0,0
101,0,4.83,480.0,0.0,7.724004656676066,0,1,0,0,1,0
102,1,4.7535901911063645,360.0,1.0,8.268988209506656,1,1,0,0,0,1
103,2,3.912023005428147,180.0,1.0,7.8961806086154915,1,1,1,0,0,0
104,0,4.672828834461906,360.0,1.0,8.406485069431817,1,0,0,0,1,0
105,0,5.298317366548036,360.0,1.0,8.456168489578463,0,1,0,0,1,0
106,0,4.7791234931115305,360.0,0.0,8.118505067587098,1,0,0,0,0,1
107,3,4.787491742782046,360.0,1.0,8.414717399827001,1,1,0,0,0,0
108,0,4.941642422609304,360.0,1.0,8.411832675758411,1,1,0,0,1,0
109,0,5.105945473900579,360.0,1.0,8.67812085552252,1,1,1,0,0,1
110,0,4.68213122712422,360.0,1.0,8.464214266625351,0,0,0,1,1,0
111,0,4.532599493153255,360.0,1.0,8.314342343369791,1,1,0,0,1,0
112,0,4.624972813284272,360.0,1.0,8.136518252115291,0,0,0,0,0,1
113,2,4.804021044733257,360.0,1.0,8.75115798136203,0,1,0,0,1,0
114,0,5.0751738152338275,360.0,1.0,9.096163326913784,1,1,0,0,0,0
115,3,5.056245805348309,360.0,1.0,9.031931152002144,1,0,0,0,1,0
116,0,5.1929568508902095,360.0,1.0,7.473069088032196,0,0,1,0,1,0
117,1,4.382026634673881,360.0,0.0,8.392989587956931,1,1,0,0,0,0
118,0,4.6443908991413725,360.0,0.0,8.395703293828529,0,0,0,0,0,1
119,2,5.3612921657094255,360.0,0.0,8.350902451694811,1,1,0,0,0,0
120,0,4.174387269895637,360.0,1.0,8.047189562170503,1,0,0,0,0,1
121,0,4.9836066217083355,360.0,1.0,8.721928343047091,1,1,0,0,0,0
122,3,4.90527477843843,360.0,1.0,8.499029220788566,1,1,0,0,0,1
123,0,5.231108616854587,360.0,0.0,9.095378353506499,1,0,0,0,0,0
124,0,5.703782474656202,360.0,0.0,9.433483923290392,0,0,0,0,0,1
125,0,4.787491742782046,360.0,1.0,8.448271745949818,1,0,0,0,1,0
126,0,4.262679877041316,360.0,0.0,8.779557455883728,1,0,0,0,0,1
127,2,5.416100402204419,360.0,1.0,8.922658299524402,1,1,0,0,0,1
128,0,4.248495242049359,180.0,1.0,8.030409562130485,1,0,0,0,0,1
129,1,4.248495242049359,360.0,1.0,8.595819511871428,1,1,1,0,1,0
130,0,4.820281565605037,360.0,1.0,8.434463543817241,1,1,0,0,0,1
131,0,4.8828019225863715,360.0,1.0,8.128880142125638,1,0,0,0,0,0
132,1,4.653960350157523,360.0,1.0,8.48879371689454,1,1,0,1,0,0
133,1,4.499809670330264,360.0,1.0,8.194229304819817,0,0,0,0,0,1
134,0,4.418840607796597,84.0,1.0,8.294049640102028,1,0,0,0,0,1
135,0,4.8283137373023015,360.0,1.0,8.356554845453426,1,1,0,0,0,1
136,2,4.990432586778736,360.0,1.0,8.411832675758411,1,1,0,0,0,0
137,1,4.787491742782046,360.0,1.0,8.504918160540624,1,1,0,0,0,0
138,0,4.700480365792417,360.0,1.0,8.430109084509125,1,0,0,0,1,0
139,3,4.634728988229637,360.0,1.0,8.314587291319576,0,0,0,0,1,0
140,0,5.010635294096256,360.0,0.0,8.461046030793236,1,0,0,0,0,0
141,3,4.605170185988092,240.0,1.0,8.714074899541522,1,1,0,0,0,0
142,3,4.934473933130692,360.0,0.0,8.898638793680181,1,1,1,0,0,1
143,0,6.309918278226516,360.0,1.0,10.373491181781864,1,1,0,1,1,0
144,2,5.5606816310155285,12.0,1.0,9.295600215927006,1,1,0,1,0,0
145,0,5.010635294096256,300.0,1.0,9.46815584482167,0,0,0,0,0,1
146,0,4.499809670330264,360.0,1.0,8.09437844497296,1,0,1,0,1,0
147,0,5.293304824724492,360.0,0.0,9.071423072789514,1,0,1,1,0,0
148,1,4.934473933130692,360.0,1.0,8.605020901781758,1,1,0,0,1,0
149,0,5.010635294096256,360.0,1.0,8.682707629893809,1,0,0,0,0,1
150,0,5.1929568508902095,360.0,1.0,8.906528917594517,1,0,0,0,0,1
151,0,4.727387818712341,360.0,1.0,8.352082671352639,1,1,0,0,0,1
152,0,4.997212273764115,360.0,1.0,8.517193191416238,1,0,0,0,0,0
153,1,4.762173934797756,360.0,0.0,8.481151420068972,1,1,1,0,0,1
154,2,4.276666119016055,360.0,1.0,8.487764380725425,1,1,0,0,0,0
155,0,4.8283137373023015,300.0,1.0,8.312135107648412,1,0,1,1,1,0
156,2,5.365976015021852,360.0,1.0,9.046879822823149,1,1,0,1,0,1
157,0,4.890349128221754,350.0,1.0,8.798454696065095,1,1,0,0,0,0
158,1,5.231108616854587,360.0,1.0,9.03025631012242,1,0,0,0,1,0
159,0,4.962844630259907,360.0,1.0,8.973984926689742,1,1,1,0,0,0
160,0,5.342334251964812,360.0,1.0,9.036701015565065,1,0,0,0,0,0
161,0,4.430816798843313,360.0,0.0,7.994294986415977,1,0,0,0,1,0
162,0,4.7535901911063645,360.0,1.0,8.62748154531036,1,0,0,0,0,1
163,0,4.174387269895637,360.0,1.0,7.903965634032166,0,0,0,0,0,0
164,1,4.382026634673881,240.0,1.0,8.621553206740481,1,0,0,0,0,0
165,0,5.135798437050261,360.0,0.0,7.726653664847642,1,0,1,0,1,0
166,2,4.787491742782046,360.0,0.0,8.057694194815587,1,0,1,0,0,1
167,0,4.90527477843843,360.0,1.0,8.733755131364893,1,1,0,0,0,1
168,3,4.543294782270004,360.0,0.0,8.452121194672523,0,1,0,0,1,0
169,1,4.3694478524670215,360.0,1.0,8.178638788590701,0,1,0,0,0,0
170,0,4.700480365792417,360.0,1.0,8.28349412616251,0,0,0,0,0,0
171,2,4.867534450455582,360.0,1.0,8.408047744155441,1,1,1,0,0,0
172,0,4.962844630259907,360.0,1.0,8.561210076833012,1,1,0,0,0,0
173,0,5.068904202220232,180.0,0.0,8.676246121270838,1,0,0,0,0,1
174,0,4.700480365792417,360.0,0.0,8.354909528358789,1,1,1,0,0,0
175,2,5.0751738152338275,360.0,1.0,9.161780181360806,1,1,0,0,0,0
176,2,4.875197323201151,360.0,1.0,8.671286726753637,1,1,1,0,0,1
177,0,4.174387269895637,360.0,1.0,7.978653729082731,0,0,0,0,0,0
178,2,4.962844630259907,360.0,1.0,8.542470998600505,1,1,0,0,0,0
179,3,5.231108616854587,360.0,1.0,9.636392113692736,1,1,0,0,0,1
180,2,5.0751738152338275,360.0,1.0,8.793308627496552,1,1,0,0,1,0
181,0,5.105945473900579,360.0,1.0,8.892748769118258,1,1,0,0,1,0
182,2,4.700480365792417,360.0,1.0,8.379768515504566,1,1,0,0,0,1
183,1,5.153291594497778,360.0,1.0,8.976767625171432,0,1,0,0,0,0
184,3,5.010635294096256,360.0,1.0,9.297984881828231,1,1,0,0,0,1
185,0,4.90527477843843,360.0,1.0,8.408047744155441,1,1,1,0,1,0
186,2,5.010635294096256,360.0,1.0,8.649098262296176,1,1,1,0,1,0
187,2,5.45958551414416,360.0,1.0,9.123365357961776,1,1,0,0,1,0
188,0,4.83,360.0,1.0,9.479068956510876,1,1,1,0,0,0
189,2,5.817111159963203,360.0,1.0,9.379323364330958,1,1,0,0,0,0
190,1,4.8828019225863715,84.0,1.0,8.37401542173991,0,1,0,0,0,0
191,0,4.564348191467836,360.0,1.0,8.314587291319576,1,0,0,0,0,1
192,2,5.1929568508902095,360.0,0.0,8.80941494391005,1,1,1,0,0,0
193,3,4.852030263919617,360.0,0.0,8.445052513638554,1,1,1,0,0,0
194,1,6.0210233493495275,360.0,1.0,9.448569560708432,1,1,0,0,1,0
195,0,4.7535901911063645,360.0,1.0,8.671286726753637,1,0,0,1,0,1
196,1,4.736198448394496,360.0,0.0,8.475537516147405,1,1,0,0,1,0
197,0,4.74493212836325,360.0,1.0,8.188689124444199,1,1,1,0,0,0
198,2,4.6443908991413725,360.0,0.0,8.083328608786376,1,1,0,0,0,1
199,0,4.477336814478207,360.0,1.0,8.114324709155339,1,1,0,1,0,0
200,0,4.68213122712422,480.0,1.0,9.071767722112245,1,1,0,1,0,0
201,3,4.499809670330264,360.0,1.0,8.130647968160584,1,1,1,0,0,1
202,0,4.605170185988092,360.0,1.0,8.370084326378025,1,1,0,0,0,1
203,0,4.68213122712422,360.0,1.0,8.618485442898109,0,1,0,0,1,0
204,0,4.356708826689592,360.0,1.0,8.035602692918582,0,0,0,0,1,0
205,0,4.812184355372417,360.0,1.0,8.523175263093785,1,1,0,0,1,0
206,1,5.231108616854587,360.0,1.0,8.930626469173578,1,1,0,0,1,0
207,1,4.9836066217083355,360.0,1.0,8.332548939252638,1,1,0,0,1,0
208,0,4.382026634673881,360.0,1.0,8.345930261979017,0,0,0,0,0,1
209,1,4.605170185988092,360.0,1.0,8.71028982137815,1,0,1,0,0,0
210,0,4.007333185232471,360.0,1.0,7.767263996757307,0,0,0,0,0,1
211,0,5.298317366548036,360.0,0.0,8.953252164609035,1,0,0,0,0,0
212,3,5.010635294096256,360.0,1.0,8.591186871324563,1,1,0,1,1,0
213,0,5.010635294096256,360.0,1.0,8.649623978596727,1,0,0,0,0,0
214,0,4.770684624465665,360.0,1.0,8.919051803930289,1,1,1,0,0,0
215,0,5.010635294096256,300.0,1.0,8.52595469708481,1,1,1,0,0,1
216,0,4.770684624465665,36.0,1.0,8.557374981049067,1,1,1,0,1,0
217,0,5.356586274672011,360.0,1.0,9.211639527707804,1,1,0,0,0,0
218,1,5.356586274672011,360.0,1.0,8.803123730829213,1,1,0,1,0,0
219,1,4.8283137373023015,360.0,1.0,8.680331928793418,1,1,0,0,0,1
220,0,4.68213122712422,360.0,1.0,8.37378460812088,1,1,0,0,0,1
221,0,5.003946305945459,360.0,1.0,8.64259160081057,1,1,1,0,0,0
222,2,4.382026634673881,480.0,1.0,7.971085753505608,1,1,1,0,0,1
223,1,5.0238805208462765,300.0,1.0,8.529516941105069,0,0,0,0,0,0
224,2,5.231108616854587,360.0,0.0,8.55333223803211,0,0,0,1,1,0
225,0,4.30406509320417,360.0,1.0,7.841885928984622,0,0,0,0,0,1
226,0,4.624972813284272,360.0,1.0,8.371242135931933,1,1,0,0,0,1
227,1,4.605170185988092,360.0,1.0,8.888066854754783,1,1,0,0,0,0
228,0,4.867534450455582,360.0,1.0,8.550047528287182,1,0,0,0,0,0
229,3,4.8283137373023015,360.0,0.0,8.552560335253531,1,1,1,0,0,1
230,0,4.867534450455582,360.0,1.0,10.289362010879287,1,0,0,0,1,0
231,0,4.927253685157205,360.0,1.0,8.673855001429615,1,0,0,1,0,1
232,0,3.332204510175204,180.0,1.0,7.925518979786926,1,1,0,0,0,0
233,1,4.5217885770490405,360.0,1.0,8.935903526274423,0,0,0,0,1,0
234,0,4.6443908991413725,360.0,1.0,8.280204233279973,0,1,0,0,0,1
235,0,5.170483995038151,360.0,0.0,8.518192691749322,1,0,0,0,0,1
236,0,4.762173934797756,360.0,0.0,8.920656296853727,0,0,0,0,1,0
237,2,4.624972813284272,360.0,1.0,9.910909938351766,1,1,1,0,0,0
238,2,4.672828834461906,360.0,1.0,8.195057690895077,1,1,1,0,1,0
239,0,4.189654742026425,480.0,1.0,8.37401542173991,1,0,0,0,0,1
240,0,4.653960350157523,360.0,1.0,8.254268770090183,1,0,1,0,0,1
241,0,4.653960350157523,360.0,0.0,8.59489469908009,1,1,0,0,1,0
242,0,4.653960350157523,360.0,1.0,8.37516869138682,1,1,0,0,1,0
243,0,4.8283137373023015,360.0,0.0,8.353025845202325,1,1,0,0,0,0
244,0,4.158883083359672,360.0,1.0,7.653020413804189,0,0,1,0,1,0
245,0,5.010635294096256,180.0,0.0,8.753213480544126,1,1,0,0,1,0
246,2,5.010635294096256,360.0,1.0,8.877102897864901,1,1,0,1,0,1
247,0,4.83,360.0,1.0,9.210340371976184,1,1,0,0,0,1
248,0,4.158883083359672,360.0,1.0,8.279697133877628,1,1,1,1,1,0
249,0,3.688879454113936,180.0,1.0,7.981049759665956,1,0,0,0,0,0
250,3,4.955827057601262,480.0,0.0,8.210396255104772,1,1,0,0,0,1
251,0,4.248495242049359,300.0,1.0,8.259199362666283,1,1,0,0,1,0
252,1,4.875197323201151,360.0,1.0,8.301025253838452,0,0,0,0,1,0
253,2,4.787491742782046,360.0,1.0,8.524168805152662,1,1,0,0,0,1
254,1,4.736198448394496,360.0,1.0,8.576216531865699,0,1,0,0,0,1
255,0,4.812184355372417,360.0,0.0,7.957877358489813,1,0,0,0,0,0
256,0,4.5217885770490405,360.0,1.0,8.251403065380556,0,1,0,0,0,0
257,0,5.0751738152338275,360.0,1.0,8.938662873666118,1,1,0,0,0,1
258,0,5.017279836814924,360.0,1.0,8.814627555310697,1,1,0,0,0,0
259,1,4.394449154672439,360.0,1.0,8.769196271411001,0,0,0,0,0,0
260,3,5.14166355650266,360.0,1.0,8.596189197642735,1,1,1,0,1,0
261,0,4.700480365792417,360.0,1.0,8.418918622147897,1,1,0,0,1,0
262,0,4.605170185988092,360.0,1.0,8.332067707289548,1,0,0,0,0,0
263,1,5.455321115357702,360.0,1.0,9.843737548130354,1,1,0,0,0,0
264,2,5.214935757608987,360.0,1.0,8.32239411311117,1,1,0,0,0,0
265,0,4.927253685157205,360.0,1.0,8.837390855544697,1,0,0,0,1,0
266,1,4.718498871295094,480.0,0.0,8.563122123304638,0,1,1,0,0,1
267,1,4.762173934797756,360.0,1.0,8.913146539151807,0,0,1,0,0,0
268,2,3.8918202981106265,360.0,0.0,8.792245847467878,1,1,0,0,0,0
269,0,4.59511985013459,360.0,1.0,8.162801353492073,1,0,0,0,0,0
270,3,4.59511985013459,360.0,1.0,8.313607139317558,0,1,1,0,0,1
271,0,5.356586274672011,360.0,1.0,8.888618807300876,0,0,0,1,0,0
272,1,5.48063892334199,360.0,1.0,10.118477957093953,1,0,0,0,1,0
273,2,4.867534450455582,360.0,0.0,8.717190933223135,1,1,0,0,1,0
274,0,4.543294782270004,360.0,0.0,8.160518247477505,0,0,0,0,1,0
275,3,4.68213122712422,360.0,1.0,8.35936910622267,1,1,0,0,1,0
276,0,4.969813299576002,360.0,1.0,8.779557455883728,1,1,0,0,0,1
277,0,4.700480365792417,180.0,1.0,8.660254034256889,0,0,0,0,1,0
278,3,5.170483995038151,360.0,0.0,8.421562960400989,1,1,1,0,1,0
279,0,5.220355825078324,360.0,1.0,10.28079321218372,1,0,0,0,1,0
280,0,4.804021044733257,360.0,1.0,8.348301054933943,1,0,0,0,1,0
281,0,4.836281906951479,360.0,1.0,8.517193191416238,1,1,0,0,0,0
282,0,4.90527477843843,360.0,1.0,8.617943094516379,0,0,0,0,0,1
283,0,4.804021044733257,360.0,1.0,9.104979856318355,1,0,1,0,0,0
284,2,6.131226489483142,360.0,1.0,9.983499490505512,0,1,0,0,0,1
285,1,5.6937321388027,360.0,1.0,9.07680897935166,1,1,0,0,0,1
286,0,4.941642422609304,360.0,1.0,8.494333897270154,1,1,1,0,0,0
287,0,4.663439094112067,360.0,1.0,8.751316246773456,1,0,0,0,0,0
288,0,4.948759890378168,360.0,1.0,8.513787398281405,1,0,0,0,0,1
289,1,4.83,360.0,1.0,9.420033875565988,1,1,0,0,0,1
290,0,5.135798437050261,360.0,1.0,8.64241515616962,1,1,0,0,1,0
291,2,4.976733742420574,360.0,1.0,8.699348067653093,1,1,0,0,0,1
292,0,4.499809670330264,360.0,1.0,8.092851027538384,1,0,1,0,0,0
293,0,4.477336814478207,360.0,0.0,8.352554369474591,0,1,0,0,0,1
294,1,4.852030263919617,360.0,1.0,8.379539026117444,1,1,1,0,0,1
295,0,4.430816798843313,480.0,1.0,7.888334500738653,0,1,0,0,1,0
296,0,4.68213122712422,360.0,1.0,8.776167099731275,1,0,0,0,1,0
297,0,4.418840607796597,360.0,1.0,8.244859395911256,1,0,1,0,0,0
298,2,4.762173934797756,360.0,1.0,8.22389538017882,0,1,1,0,1,0
299,2,4.852030263919617,360.0,1.0,8.323608442343572,1,1,0,0,0,0
300,1,4.31748811353631,360.0,1.0,8.922658299524402,1,1,0,1,0,1
301,1,4.8283137373023015,360.0,0.0,8.748304912379622,1,1,0,0,0,1
302,0,5.17614973257383,360.0,1.0,9.614938437644996,0,0,0,1,0,0
303,1,4.219507705176107,360.0,1.0,7.899153483343098,1,1,1,1,0,0
304,0,4.564348191467836,360.0,1.0,8.101677747454572,1,1,0,0,1,0
305,2,5.1929568508902095,360.0,1.0,8.246958032568179,1,0,1,0,1,0
306,2,5.2094861528414205,360.0,1.0,8.922658299524402,1,1,0,1,0,0
307,2,4.795790545596741,360.0,1.0,8.258163361537619,1,1,1,0,0,0
308,1,5.087596335232384,360.0,1.0,8.82834762005316,1,1,0,0,0,0
309,0,4.8828019225863715,360.0,1.0,9.036938912556787,1,1,0,0,1,0
310,0,4.990432586778736,360.0,1.0,8.578100126319761,1,0,0,0,0,1
311,3,5.030437921392434,360.0,0.0,8.940891067785461,0,0,0,0,0,0
312,0,4.6443908991413725,84.0,1.0,8.336630087637149,1,0,0,0,0,1
313,2,5.003946305945459,360.0,1.0,8.517193191416238,1,1,0,0,0,0
314,0,4.897839799950911,300.0,1.0,8.23403420769204,0,0,0,0,0,1
315,0,5.105945473900579,180.0,1.0,9.075436609511383,0,1,0,0,1,0
316,0,4.787491742782046,360.0,1.0,8.36240897761537,0,1,0,0,0,0
317,0,4.204692619390967,360.0,0.0,8.433811582477187,1,1,1,0,0,1
318,0,4.8283137373023015,360.0,1.0,8.469682208745185,1,0,1,0,0,0
319,0,4.787491742782046,360.0,1.0,8.669227347271736,1,0,0,0,0,1
320,1,4.997212273764115,360.0,1.0,8.344980368770571,1,1,0,0,0,0
321,0,5.198497031265826,360.0,1.0,8.134174272137901,0,1,1,0,0,1
322,3,4.382026634673881,120.0,1.0,8.131530710604252,1,1,0,0,0,1
323,1,3.688879454113936,360.0,1.0,9.952277716705561,1,0,0,0,1,0
324,0,4.499809670330264,360.0,1.0,8.581669210600603,1,1,0,0,0,0
325,0,4.553876891600541,6.0,0.0,8.57376254290413,1,0,0,0,1,0
326,1,4.804021044733257,360.0,1.0,8.076515327552329,1,1,1,0,1,0
327,2,5.010635294096256,360.0,1.0,8.655388690167639,1,1,0,0,0,1
328,3,5.010635294096256,360.0,1.0,9.032289682032873,1,1,0,1,0,0
329,1,4.6443908991413725,360.0,1.0,8.54830418644129,1,1,0,0,1,0
330,0,4.962844630259907,360.0,1.0,8.614138397472718,1,1,0,0,0,0
331,3,5.703782474656202,360.0,1.0,9.179778066393544,1,1,0,0,0,1
332,1,5.14166355650266,360.0,1.0,8.754318540250866,0,1,1,0,0,1
333,0,4.727387818712341,360.0,1.0,8.457230850243555,0,1,0,0,1,0
334,0,3.555348061489413,360.0,1.0,8.151044945685022,1,1,0,0,1,0
335,2,3.828641396489095,360.0,1.0,7.783224016336037,1,0,0,0,0,1
336,0,4.976733742420574,360.0,1.0,8.520188700396035,0,0,1,0,0,1
337,0,4.7791234931115305,360.0,1.0,8.25582842728183,1,1,0,0,0,1
338,1,4.465908118654584,240.0,1.0,8.65084957622891,1,1,0,1,0,0
339,0,5.087596335232384,360.0,0.0,8.804775258867686,0,0,0,0,0,0
340,0,4.804021044733257,180.0,1.0,8.916506080039204,1,1,0,1,1,0
341,0,5.231108616854587,360.0,1.0,9.017604776833355,1,0,0,1,0,0
342,3,4.394449154672439,180.0,1.0,8.166784289056151,1,1,1,0,0,0
343,1,4.382026634673881,360.0,1.0,8.455317787698151,1,1,0,0,0,1
