Loan_ID,Dependents,LoanAmount,Loan_Amount_Term,Credit_History,Total,Gender_Male,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y
LP001357,0,5.075173815233827,360.0,1.0,8.42726848388825,1,1,0,0,0,1,1
LP001367,1,4.605170185988092,360.0,1.0,8.31434234336979,1,1,0,0,0,1,1
LP001369,2,5.41610040220442,360.0,1.0,9.436918020024674,1,1,0,0,0,1,1
LP001370,0,4.787491742782046,360.0,1.0,8.9001399880938,1,0,1,0,0,0,0
LP001379,2,5.375278407684165,360.0,0.0,8.909235279192261,1,1,0,0,0,1,0
LP001384,3,4.543294782270004,480.0,1.0,7.946263643580541,1,1,1,0,1,0,1
LP001385,0,4.912654885736052,360.0,1.0,8.578476419833136,1,0,0,0,0,1,1
LP001387,0,4.9344739331306915,360.0,1.0,8.568266461600238,0,1,0,0,1,0,1
LP001391,0,5.0238805208462765,360.0,0.0,8.94715577112479,1,1,1,0,0,0,0
LP001392,1,4.85,360.0,1.0,8.916103530553727,0,0,0,1,1,0,1
LP001398,0,4.770684624465665,360.0,1.0,8.527143522269405,1,0,0,0,1,0,1
LP001401,1,5.220355825078324,180.0,1.0,9.587611745713565,1,1,0,0,0,0,1
LP001404,0,5.0369526024136295,360.0,1.0,8.60337088765729,0,1,0,0,1,0,1
LP001405,1,4.442651256490317,360.0,1.0,8.192016914536875,1,1,0,0,0,1,1
LP001421,0,5.1647859739235145,360.0,1.0,8.950273466557375,1,1,0,0,0,0,0
LP001422,0,5.556828061699537,360.0,1.0,9.250330020192342,0,0,0,0,0,1,1
LP001426,0,5.19295685089021,360.0,1.0,9.0280988119824,1,1,0,0,0,0,1
LP001430,0,3.784189633918261,360.0,1.0,8.334711621820917,0,0,0,0,1,0,1
LP001431,0,4.919980925828125,360.0,0.0,9.316230747233615,0,0,0,0,1,0,1
LP001432,2,4.394449154672439,360.0,1.0,7.9919305198524775,1,1,0,0,1,0,1
LP001439,0,5.267858159063328,360.0,1.0,8.750524669117937,1,1,1,0,0,0,1
LP001443,0,4.532599493153256,360.0,1.0,8.213923595622743,0,0,0,0,0,0,1
LP001448,3,5.91350300563827,360.0,1.0,10.077566902136047,1,1,0,0,0,0,1
LP001449,0,4.85,360.0,1.0,8.61341204915678,1,0,0,0,0,0,1
LP001451,1,5.075173815233827,180.0,0.0,9.572410734431823,1,1,0,1,0,1,0
LP001465,0,5.204006687076795,360.0,1.0,9.065198986306513,1,1,0,0,0,0,0
LP001469,0,6.476972362889683,480.0,1.0,9.91175329695316,1,0,0,1,0,1,1
LP001473,0,4.30406509320417,360.0,1.0,8.279697133877628,1,0,0,0,0,1,1
LP001478,0,4.248495242049359,360.0,1.0,7.907651594711089,1,0,0,0,1,0,1
LP001482,0,3.2188758248682006,120.0,1.0,8.148734808937169,1,1,0,1,1,0,1
LP001487,0,4.624972813284271,360.0,1.0,8.49596955496461,1,0,0,0,1,0,1
LP001488,3,5.66988092298052,360.0,1.0,9.371608519572305,1,1,0,0,1,0,0
LP001489,0,4.430816798843313,360.0,1.0,8.430109084509125,0,1,0,0,0,0,0
LP001491,2,4.477336814478207,360.0,1.0,8.827028068509152,1,1,0,1,0,1,1
LP001492,0,5.488937726156687,360.0,0.0,9.61573881119536,1,0,0,0,1,0,0
LP001493,2,4.859812404361672,360.0,1.0,8.635864721133736,1,1,1,0,0,0,0
LP001497,2,5.220355825078324,360.0,1.0,8.871365005136852,1,1,0,0,0,0,0
LP001498,0,5.123963979403259,360.0,1.0,8.597297435657898,1,0,0,0,0,1,1
LP001504,0,5.1647859739235145,180.0,1.0,8.846496938558838,1,0,0,1,1,0,1
LP001507,0,4.804021044733257,360.0,1.0,8.462103225098277,1,1,0,0,1,0,1
LP001508,2,5.231108616854587,180.0,1.0,9.372204086867741,1,1,0,0,0,1,1
LP001514,0,4.605170185988092,360.0,1.0,8.827028068509152,0,1,0,0,1,0,1
LP001516,2,4.248495242049359,360.0,1.0,9.60683200528524,0,1,0,0,0,1,1
LP001518,1,3.4011973816621555,360.0,1.0,7.993957547573565,1,1,0,0,0,1,1
LP001519,0,5.41610040220442,360.0,1.0,9.364433907313582,0,0,0,0,0,0,0
LP001520,0,4.8283137373023015,360.0,1.0,8.646465527120377,1,1,0,0,1,0,1
LP001528,0,4.770684624465665,360.0,0.0,8.744647438317532,1,0,0,0,0,0,0
LP001529,0,5.0238805208462765,360.0,1.0,8.752581469146884,1,1,0,1,0,0,1
LP001531,0,5.497168225293202,360.0,1.0,9.123256265069069,1,0,0,0,0,1,0
LP001532,2,4.727387818712341,360.0,1.0,7.732369222284388,1,1,1,0,0,0,0
LP001535,0,3.912023005428146,360.0,1.0,8.087640287778983,1,0,0,0,0,1,1
LP001536,3,6.396929655216146,180.0,0.0,10.596609732783568,1,1,0,0,1,0,1
LP001541,1,5.075173815233827,360.0,1.0,8.699514748210191,1,1,0,0,0,0,1
LP001543,1,5.231108616854587,360.0,1.0,9.16303909885817,1,1,0,0,0,1,1
LP001546,0,4.787491742782046,360.0,1.0,8.529714471969909,1,0,0,0,0,0,1
LP001552,0,5.541263545158426,360.0,1.0,9.23092700558457,1,1,0,0,1,0,1
LP001560,0,4.584967478670572,360.0,1.0,7.973844375944687,1,1,1,0,1,0,1
LP001562,0,5.616771097666572,360.0,1.0,8.978786553302003,1,1,0,0,0,1,0
LP001565,1,4.795790545596741,360.0,0.0,8.382289428951436,1,1,0,0,1,0,0
LP001570,2,5.062595033026967,360.0,1.0,8.633018756921828,1,1,0,0,0,0,1
LP001572,0,4.31748811353631,180.0,1.0,9.140239744296693,1,1,0,0,0,1,1
LP001574,0,5.204006687076795,360.0,1.0,8.835355971121606,1,1,0,0,0,0,1
LP001577,0,4.718498871295094,360.0,1.0,8.430109084509125,0,1,0,0,0,0,0
LP001578,0,4.859812404361672,360.0,1.0,8.660773919893762,1,1,0,0,0,0,1
LP001579,0,4.143134726391533,480.0,0.0,7.71289096149013,1,0,0,0,1,0,0
LP001580,2,5.298317366548036,360.0,1.0,8.987196820661973,1,1,0,0,1,0,1
LP001581,0,4.553876891600541,360.0,1.0,8.185628891147607,1,1,1,0,0,0,1
LP001585,3,6.551080335043404,300.0,1.0,10.854430887309706,1,1,0,0,0,1,1
LP001586,3,4.394449154672439,180.0,1.0,8.166784289056151,1,1,1,0,0,0,0
LP001594,0,5.231108616854587,360.0,1.0,9.335474102732949,1,1,0,0,1,0,1
LP001603,0,4.465908118654584,360.0,1.0,8.533066540572527,1,1,1,1,1,0,0
LP001606,0,4.7535901911063645,360.0,1.0,8.605387202152153,1,1,0,0,0,0,1
LP001608,2,4.61512051684126,360.0,1.0,8.20631072579402,1,1,0,0,0,0,1
LP001610,3,6.20455776256869,360.0,0.0,9.730086093116732,1,1,0,0,1,0,0
LP001616,1,4.7535901911063645,360.0,1.0,8.229511118964457,1,1,0,0,1,0,1
LP001630,0,4.624972813284271,480.0,0.0,8.238536930171769,1,0,1,0,0,1,0
LP001633,1,5.19295685089021,360.0,0.0,9.521494800613105,1,1,0,0,0,1,0
LP001634,0,4.204692619390966,360.0,1.0,8.850660919017152,1,0,0,0,0,0,0
LP001636,0,4.290459441148391,180.0,1.0,8.433811582477187,1,1,0,0,1,0,1
LP001637,1,5.560681631015528,360.0,1.0,10.429576102968031,1,1,0,0,1,0,0
LP001639,0,4.68213122712422,360.0,1.0,8.195609567288775,0,1,0,0,1,0,1
LP001640,0,4.787491742782046,360.0,1.0,10.689601259598334,1,1,0,1,1,0,1
LP001641,1,4.189654742026425,300.0,0.0,7.686162303492906,1,1,0,1,0,0,0
LP001643,0,4.060443010546419,360.0,1.0,8.416488487294606,1,1,0,0,0,0,1
LP001644,0,5.123963979403259,360.0,1.0,8.694502206386648,1,1,0,1,0,0,1
LP001647,0,5.236441962829949,180.0,1.0,9.140775908590273,1,1,0,0,0,0,1
LP001653,0,3.871201010907891,360.0,1.0,8.493924564476883,1,0,1,0,0,0,1
LP001656,0,5.099866427824199,360.0,1.0,9.392661928770137,1,0,0,0,1,0,0
LP001657,0,5.075173815233827,360.0,1.0,8.704999678440762,1,1,1,0,0,1,0
LP001658,0,4.330733340286331,360.0,1.0,8.257904193465674,1,0,0,0,1,0,1
LP001664,0,4.787491742782046,360.0,1.0,8.340694647925071,1,0,0,0,0,0,1
LP001665,1,5.135798437050262,360.0,1.0,8.649623978596727,1,1,0,0,1,0,0
LP001666,0,5.231108616854587,360.0,1.0,9.399554785027307,1,0,0,0,0,0,1
LP001669,0,4.787491742782046,360.0,1.0,8.35983738064003,0,0,1,0,0,1,1
LP001671,0,4.727387818712341,360.0,1.0,8.737452587550584,0,1,0,0,1,0,1
LP001673,0,4.418840607796598,360.0,1.0,9.305650551780507,1,0,0,1,0,1,0
LP001674,1,4.499809670330265,360.0,1.0,8.536995818712418,1,1,1,0,1,0,1
LP001677,2,5.111987788356544,360.0,0.0,8.5016733797582,1,0,0,0,1,0,1
LP001682,3,4.85,180.0,1.0,8.292047637431354,1,1,1,0,0,1,0
LP001688,1,4.90527477843843,360.0,1.0,8.430109084509125,1,1,1,0,0,1,1
LP001691,2,4.820281565605037,360.0,1.0,8.27308133366583,1,1,1,0,1,0,1
LP001692,0,4.787491742782046,360.0,1.0,8.391176350832751,0,0,1,0,1,0,1
LP001693,0,4.382026634673881,360.0,1.0,8.084562415235304,0,0,0,0,0,1,1
LP001698,0,4.007333185232471,360.0,1.0,8.780480107033297,1,0,1,0,0,0,1
LP001699,0,4.07753744390572,360.0,1.0,7.8156105320351905,1,0,0,0,0,1,1
LP001702,0,4.844187086458591,360.0,1.0,8.136810863675537,1,0,0,0,1,0,0
LP001708,0,5.365976015021851,360.0,1.0,9.210340371976184,0,0,0,0,1,0,0
LP001711,3,4.852030263919617,360.0,0.0,8.451053388911692,1,1,0,0,1,0,0
LP001713,1,5.480638923341991,360.0,1.0,8.960210955576986,1,1,0,1,0,1,1
LP001715,3,4.867534450455582,360.0,1.0,8.648747631156539,1,1,1,1,0,0,1
LP001716,0,4.919980925828125,360.0,1.0,8.731336360533149,1,1,0,0,0,1,1
LP001720,3,4.605170185988092,360.0,1.0,8.483222671845084,1,1,1,0,1,0,1
LP001722,0,4.90527477843843,360.0,1.0,7.575584651557793,1,1,0,0,0,0,0
LP001726,0,4.875197323201151,360.0,1.0,8.61286694148452,1,1,0,0,1,0,1
LP001732,2,4.276666119016055,360.0,0.0,8.517193191416238,1,1,0,0,1,0,0
LP001734,2,4.844187086458591,360.0,1.0,8.804775258867686,0,1,0,0,1,0,1
LP001736,0,4.0943445622221,360.0,0.0,7.7057128238944275,1,1,0,0,0,1,0
LP001743,2,4.7535901911063645,360.0,1.0,8.65277248565806,1,1,0,0,1,0,1
LP001744,0,4.969813299576001,360.0,1.0,8.659039915644474,1,0,0,0,1,0,1
LP001749,0,5.1647859739235145,360.0,1.0,9.058121158998672,1,1,0,0,1,0,1
LP001750,0,4.852030263919617,360.0,1.0,8.740336742730447,1,1,0,0,1,0,1
LP001751,0,5.135798437050262,360.0,1.0,8.086410275323782,1,1,0,0,0,0,0
LP001754,0,4.927253685157205,360.0,1.0,8.462737005620179,1,1,1,1,0,1,0
LP001758,2,5.3471075307174685,360.0,1.0,8.980298078970817,1,1,0,0,1,0,1
LP001760,0,5.062595033026967,480.0,1.0,8.467582690862903,1,1,0,0,1,0,1
LP001761,0,5.298317366548036,360.0,1.0,8.764053269347762,1,0,0,1,0,0,1
LP001765,1,4.6443908991413725,360.0,1.0,8.421783006611578,1,1,0,0,1,0,1
LP001768,0,3.7376696182833684,180.0,1.0,8.22040309993373,1,1,0,0,0,0,1
LP001770,0,4.787491742782046,360.0,1.0,8.663369301573839,1,0,1,0,0,0,1
LP001776,0,5.634789603169249,360.0,1.0,9.027978814382207,0,0,0,0,1,0,1
LP001778,1,4.941642422609304,360.0,1.0,8.503905297089302,1,1,0,0,1,0,1
LP001784,1,5.135798437050262,360.0,1.0,8.81877816903701,1,1,0,0,0,0,1
LP001786,0,5.541263545158426,360.0,1.0,8.656259239539235,1,1,0,0,0,1,0
LP001788,0,4.804021044733257,360.0,1.0,8.149890544402423,0,0,0,1,0,1,1
LP001790,1,4.718498871295094,360.0,1.0,8.245909264774093,0,0,0,0,0,0,1
LP001792,1,4.564348191467836,360.0,1.0,8.106212902619962,1,1,0,0,1,0,1
LP001798,2,4.787491742782046,360.0,1.0,9.289059126687574,1,1,0,0,0,0,1
LP001800,1,4.941642422609304,180.0,1.0,8.41027590907016,1,1,1,0,0,1,0
LP001806,0,5.043425116919247,60.0,1.0,9.067162602299854,1,0,0,0,0,1,1
LP001807,2,4.68213122712422,360.0,1.0,8.92930284224307,1,1,0,1,0,0,1
LP001811,0,4.812184355372417,360.0,1.0,8.96482339168508,1,1,1,0,1,0,1
LP001813,0,4.787491742782046,180.0,1.0,9.247925132303454,1,0,0,1,0,1,0
LP001814,2,4.718498871295094,360.0,1.0,9.1801903950253,1,1,0,0,0,1,1
LP001819,1,4.919980925828125,180.0,1.0,8.796036315200814,1,1,1,0,0,1,1
LP001824,1,4.812184355372417,480.0,1.0,8.460622839927844,1,1,0,0,1,0,1
LP001825,0,4.499809670330265,360.0,1.0,8.209852481301272,1,1,0,0,0,1,1
LP001835,0,5.303304908059076,360.0,0.0,8.62299361030245,1,1,1,0,1,0,0
LP001836,2,4.927253685157205,360.0,1.0,8.139440521874608,0,0,0,0,0,1,0
LP001841,0,4.6443908991413725,360.0,1.0,8.465899897028686,1,0,1,1,0,0,1
LP001843,1,5.631211781821365,180.0,1.0,9.186252576447092,1,1,1,0,1,0,1
LP001844,0,5.2574953720277815,360.0,0.0,9.695848187757884,1,0,0,1,0,1,0
LP001846,3,5.541263545158426,360.0,1.0,8.03365842788615,0,0,0,0,0,0,1
LP001849,0,4.74493212836325,360.0,0.0,8.706986763048892,1,0,1,0,0,0,0
LP001854,3,4.543294782270004,360.0,1.0,8.565983355585669,1,1,0,0,0,1,0
LP001859,0,5.717027701406222,360.0,1.0,9.72812174830818,1,1,0,0,0,0,0
LP001864,3,4.852030263919617,360.0,0.0,8.503297086224126,1,1,1,0,1,0,0
LP001865,1,5.799092654460526,360.0,1.0,9.243097936214355,1,1,0,0,0,1,1
LP001868,0,4.897839799950911,360.0,1.0,8.359134886757962,1,0,0,0,1,0,1
LP001870,1,5.043425116919247,36.0,1.0,8.15507488781144,0,0,0,0,1,0,0
LP001871,0,4.787491742782046,360.0,1.0,8.881836305004146,0,0,0,0,0,0,1
LP001872,0,4.852030263919617,360.0,1.0,8.549853973655786,1,0,0,1,1,0,1
LP001875,0,5.017279836814924,360.0,1.0,8.928242677818302,1,0,0,0,0,0,1
LP001877,2,5.0106352940962555,360.0,1.0,8.715224041915372,1,1,0,0,1,0,1
LP001882,3,5.075173815233827,360.0,0.0,8.723231274827508,1,1,0,0,0,1,1
LP001883,0,4.90527477843843,360.0,1.0,8.136810863675537,0,0,0,0,0,0,0
LP001884,1,4.499809670330265,360.0,1.0,8.397508348470257,0,0,0,0,0,1,1
LP001888,0,3.4011973816621555,360.0,1.0,8.082402253926244,0,0,0,0,0,1,1
LP001891,0,4.912654885736052,360.0,1.0,9.318835968129482,1,1,0,0,0,1,1
LP001892,0,4.836281906951478,360.0,1.0,8.453187861440325,1,0,0,0,0,0,1
LP001894,0,5.0106352940962555,360.0,1.0,8.48528964240323,1,1,0,0,1,0,1
LP001896,2,4.499809670330265,360.0,1.0,8.268731832117737,1,1,0,0,1,0,1
LP001900,1,4.74493212836325,360.0,1.0,8.432070937999402,1,1,0,0,1,0,1
LP001903,0,5.332718793265369,360.0,1.0,8.891098830616636,1,1,0,0,1,0,1
LP001904,0,4.382026634673881,360.0,1.0,8.390041405755754,1,1,0,0,0,1,1
LP001907,0,6.077642243349034,360.0,1.0,9.587611745713565,1,1,0,0,1,0,1
LP001908,0,4.820281565605037,360.0,1.0,8.318742252692399,0,1,1,0,0,0,1
LP001910,1,5.062595033026967,360.0,0.0,8.776321456449958,1,0,1,1,0,1,0
LP001914,0,4.718498871295094,360.0,1.0,8.461046030793236,1,1,0,0,1,0,1
LP001915,2,4.356708826689592,180.0,1.0,8.097669722345216,1,1,0,0,0,1,1
LP001917,0,3.9889840465642745,360.0,1.0,8.153925132007862,0,0,0,0,0,1,1
LP001922,0,4.85,360.0,1.0,9.936293504261306,1,1,0,0,0,0,0
LP001924,0,4.48863636973214,360.0,1.0,8.734077192559303,1,0,0,0,0,0,1
LP001925,0,4.59511985013459,300.0,1.0,8.370315995555478,0,0,0,1,1,0,0
LP001926,0,4.787491742782046,360.0,1.0,8.648922962094131,1,1,0,0,0,0,1
LP001931,0,4.74493212836325,360.0,1.0,8.32457884513685,0,0,0,0,1,0,1
LP001935,0,5.231108616854587,360.0,1.0,9.159888828480085,1,0,0,0,0,0,1
LP001936,0,4.9344739331306915,360.0,1.0,8.610865667278873,1,1,0,0,0,0,1
LP001938,2,4.844187086458591,360.0,0.0,8.389359819906353,1,1,0,0,1,0,0
LP001940,2,4.897839799950911,360.0,1.0,8.45807992692373,1,1,0,0,0,1,1
LP001945,0,4.962844630259907,480.0,0.0,8.597297435657898,0,0,0,0,0,1,0
LP001947,0,5.147494476813453,360.0,1.0,8.651199471263972,1,1,0,0,1,0,1
LP001949,3,4.700480365792417,360.0,1.0,8.642238680390461,1,1,0,0,0,1,1
LP001953,1,5.298317366548036,360.0,1.0,8.835646922534773,1,1,0,0,1,0,1
LP001954,1,4.90527477843843,360.0,1.0,8.448057452581375,0,1,0,0,0,1,1
LP001955,0,5.017279836814924,480.0,1.0,8.928110078202646,0,0,0,0,0,0,0
LP001963,1,4.727387818712341,360.0,1.0,8.504918160540624,1,1,0,0,0,1,0
LP001964,0,4.532599493153256,360.0,0.0,8.46252579007393,1,1,1,0,0,1,0
LP001972,0,4.653960350157523,360.0,1.0,8.439231649946526,1,1,1,0,1,0,1
LP001974,0,4.882801922586371,360.0,1.0,8.517193191416238,0,0,0,0,0,0,1
LP001977,1,4.564348191467836,360.0,1.0,8.13973227971767,1,1,0,0,0,1,1
LP001978,0,4.941642422609304,360.0,1.0,8.779557455883728,1,0,0,0,0,0,1
LP001990,0,4.85,360.0,1.0,7.600902459542082,1,0,1,0,0,1,0
